CO_ANO,CO_MES,CO_MUN,CO_PAIS,KG_LIQUIDO,SG_UF_MUN,SH4,VL_FOB
1999,10,3443303,063,18189,SP,9306,161595
1999,03,3443303,154,2,SP,9306,26
1999,09,4312401,845,1453,RS,9306,4327
1999,12,3443303,249,53651,SP,9306,332164
1999,08,3443303,485,2459,SP,9306,20925
1999,08,3443303,158,1633,SP,9306,52594
1999,07,3443303,023,13932,SP,9306,94360
1999,10,4312401,249,2558,RS,9306,36439
1999,05,3306107,087,212,RJ,9306,13395
1999,12,3443303,589,361,SP,9306,3942
1999,12,3306107,087,333,RJ,9306,17057
1999,11,3443303,764,12,SP,9306,123
1999,08,3407605,169,52,SP,9306,3000
1999,10,3443303,687,14,SP,9306,81
1999,12,3443303,081,2784,SP,9306,50875
1999,04,3443303,245,6933,SP,9306,43142
1999,02,3443303,069,2474,SP,9306,16128
1999,07,3443303,756,68,SP,9306,802
1999,04,3443303,845,1972,SP,9306,13146
1999,04,3306107,087,281,RJ,9306,17625
1999,11,3443303,538,7478,SP,9306,40787
1999,03,3449904,158,1110,SP,9306,48000
1999,12,3443303,244,17690,SP,9306,196460
1999,10,3443303,087,3784,SP,9306,25353
1999,03,3443303,245,4946,SP,9306,27375
1999,05,3443303,275,4198,SP,9306,25574
1999,09,4312401,249,3431,RS,9306,38959
1999,05,3443303,850,1216,SP,9306,7550
1999,12,3449904,158,2220,SP,9306,95400
1999,12,3443303,607,3876,SP,9306,39354
1999,08,3443303,063,7931,SP,9306,61688
1999,10,3443303,023,58149,SP,9306,380646
1999,06,3443303,169,10885,SP,9306,208077
1999,07,3443303,163,11,SP,9306,30
1999,07,3407605,097,92,SP,9306,9900
1999,11,3443303,063,12,SP,9306,97
1999,11,3443303,249,23608,SP,9306,153544
1999,09,3443303,827,11,SP,9306,50
1999,11,3407605,850,114,SP,9306,11000
1999,12,3443303,023,27623,SP,9306,183063
1999,06,3443303,767,13948,SP,9306,90480
1999,01,3443303,628,3825,SP,9306,36820
1999,09,3443303,158,7107,SP,9306,195234
1999,06,3443303,063,35375,SP,9306,352844
1999,02,3443303,589,54100,SP,9306,598639
1999,06,3443303,249,29548,SP,9306,210688
1999,08,3443303,271,2299,SP,9306,16293
1999,02,3443303,301,1467,SP,9306,11733
1999,12,3443303,158,3102,SP,9306,105480
1999,04,3443303,628,10372,SP,9306,102741
1999,07,3443303,275,5585,SP,9306,42398
1999,04,3443303,573,7975,SP,9306,46379
1999,07,3443303,301,16048,SP,9306,115455
1999,04,3443303,317,247,SP,9306,3776
1999,11,3443303,023,14137,SP,9306,87449
1999,08,3443303,403,46,SP,9306,1823
1999,01,3443303,586,10198,SP,9306,82246
1999,11,4312401,097,346,RS,9306,3175
1999,06,3443303,097,7973,SP,9306,68950
1999,01,3306107,087,281,RJ,9306,17127
1999,12,3443303,741,12868,SP,9306,179497
1999,03,3443303,845,1520,SP,9306,10537
1999,04,3443303,249,25663,SP,9306,184017
1999,07,3443303,249,56679,SP,9306,399667
1999,08,3443303,628,11900,SP,9306,99500
1999,05,3443303,063,10006,SP,9306,87098
1999,03,3443303,607,4,SP,9306,42
1999,11,3443303,741,17508,SP,9306,102419
1999,05,3443303,845,242,SP,9306,1732
1999,12,4312401,063,6478,RS,9306,24519
1999,12,4312401,845,337,RS,9306,300
1999,04,3443303,023,8608,SP,9306,60497
